	Time [s]	Minimum [°C]	Maximum [°C]	Average [°C]	
1	1.	26.82	27.364	26.949	
2	1.01	26.815	27.364	26.945	
3	1.02	26.81	27.364	26.941	
4	1.05	26.796	27.365	26.93	
5	1.11	26.777	27.369	26.915	
6	1.21	26.761	27.377	26.902	
7	1.31	26.754	27.385	26.897	
8	1.41	26.754	27.392	26.896	
9	1.51	26.756	27.399	26.898	
10	1.61	26.76	27.405	26.902	
11	1.71	26.765	27.411	26.906	
12	1.81	26.77	27.416	26.911	
13	1.91	26.775	27.421	26.915	
14	2.	26.779	27.426	26.919	
15	2.01	26.78	27.426	26.919	
16	2.02	26.78	27.426	26.92	
17	2.05	26.782	27.428	26.921	
18	2.14	26.785	27.432	26.924	
19	2.24	26.789	27.436	26.928	
20	2.34	26.792	27.439	26.931	
21	2.44	26.795	27.443	26.934	
22	2.54	26.798	27.446	26.936	
23	2.64	26.8	27.45	26.939	
24	2.74	26.802	27.453	26.941	
25	2.84	26.804	27.456	26.943	
26	2.94	26.805	27.459	26.944	
27	3.	26.806	27.461	26.945	
28	3.01	26.806	27.461	26.945	
29	3.02	26.806	27.461	26.946	
30	3.05	26.807	27.462	26.946	
31	3.14	26.808	27.465	26.947	
32	3.24	26.809	27.467	26.948	
33	3.34	26.809	27.47	26.949	
34	3.44	26.81	27.473	26.95	
35	3.54	26.81	27.475	26.951	
36	3.64	26.81	27.478	26.952	
37	3.74	26.811	27.48	26.952	
38	3.84	26.811	27.482	26.953	
39	3.94	26.811	27.484	26.953	
40	4.	26.811	27.486	26.954	
41	4.01	26.811	27.486	26.954	
42	4.02	26.811	27.486	26.954	
43	4.05	26.811	27.487	26.954	
44	4.14	26.811	27.489	26.954	
45	4.24	26.811	27.491	26.954	
46	4.34	26.81	27.493	26.955	
47	4.44	26.81	27.495	26.955	
48	4.54	26.81	27.496	26.955	
49	4.64	26.809	27.498	26.955	
50	4.74	26.809	27.5	26.955	
51	4.84	26.809	27.502	26.955	
52	4.94	26.808	27.503	26.955	
53	5.	26.808	27.504	26.955	
54	5.01	26.808	27.504	26.955	
55	5.02	26.808	27.504	26.955	
56	5.05	26.808	27.505	26.955	
57	5.14	26.808	27.506	26.955	
58	5.24	26.807	27.508	26.955	
59	5.34	26.807	27.509	26.955	
60	5.44	26.806	27.511	26.955	
61	5.54	26.806	27.512	26.955	
62	5.64	26.805	27.513	26.955	
63	5.74	26.805	27.515	26.955	
64	5.84	26.805	27.516	26.955	
65	5.94	26.804	27.517	26.955	
66	6.	26.804	27.518	26.955	
67	6.01	26.804	27.518	26.955	
68	6.02	26.804	27.518	26.955	
69	6.05	26.804	27.518	26.955	
70	6.14	26.803	27.519	26.954	
71	6.24	26.803	27.52	26.954	
72	6.34	26.802	27.521	26.954	
73	6.44	26.802	27.523	26.954	
74	6.54	26.802	27.523	26.954	
75	6.64	26.801	27.524	26.954	
76	6.74	26.801	27.525	26.954	
77	6.84	26.8	27.526	26.954	
78	6.94	26.8	27.527	26.954	
79	7.	26.8	27.528	26.953	
80	7.01	26.8	27.528	26.953	
81	7.02	26.8	27.528	26.953	
82	7.05	26.8	27.528	26.953	
83	7.14	26.799	27.529	26.953	
84	7.24	26.799	27.53	26.953	
85	7.34	26.799	27.53	26.953	
86	7.44	26.798	27.531	26.953	
87	7.54	26.798	27.532	26.953	
88	7.64	26.798	27.533	26.953	
89	7.74	26.797	27.533	26.953	
90	7.84	26.797	27.534	26.953	
91	7.94	26.797	27.534	26.953	
92	8.	26.797	27.535	26.952	
93	8.01	26.797	27.535	26.952	
94	8.02	26.797	27.535	26.952	
95	8.05	26.797	27.535	26.952	
96	8.14	26.796	27.536	26.952	
97	8.24	26.796	27.536	26.952	
98	8.34	26.796	27.537	26.952	
99	8.44	26.796	27.537	26.952	
100	8.54	26.795	27.538	26.952	
101	8.64	26.795	27.538	26.952	
102	8.74	26.795	27.539	26.952	
103	8.84	26.795	27.539	26.952	
104	8.94	26.795	27.54	26.952	
105	9.	26.795	27.54	26.952	
106	9.01	26.795	27.54	26.952	
107	9.02	26.794	27.54	26.952	
108	9.05	26.794	27.54	26.952	
109	9.14	26.794	27.541	26.952	
110	9.24	26.794	27.541	26.952	
111	9.34	26.794	27.542	26.952	
112	9.44	26.794	27.542	26.952	
113	9.54	26.794	27.542	26.952	
114	9.64	26.794	27.543	26.952	
115	9.74	26.793	27.543	26.951	
116	9.84	26.793	27.543	26.951	
117	9.94	26.793	27.544	26.951	
118	10.	26.793	27.544	26.951	
119	10.01	26.793	27.544	26.951	
120	10.02	26.793	27.544	26.951	
121	10.05	26.793	27.544	26.951	
122	10.14	26.793	27.544	26.951	
123	10.24	26.793	27.545	26.951	
124	10.34	26.793	27.545	26.951	
125	10.44	26.793	27.545	26.951	
126	10.54	26.793	27.546	26.951	
127	10.64	26.792	27.546	26.951	
128	10.74	26.792	27.546	26.951	
129	10.84	26.792	27.546	26.951	
130	10.94	26.792	27.547	26.951	
131	11.	26.792	27.547	26.951	
132	11.01	26.792	27.547	26.951	
133	11.02	26.792	27.547	26.951	
134	11.05	26.792	27.547	26.951	
135	11.14	26.792	27.547	26.951	
136	11.24	26.792	27.547	26.951	
137	11.34	26.792	27.548	26.951	
138	11.44	26.792	27.548	26.951	
139	11.54	26.792	27.548	26.951	
140	11.64	26.792	27.548	26.951	
141	11.74	26.792	27.548	26.951	
142	11.84	26.792	27.549	26.951	
143	11.94	26.792	27.549	26.951	
144	12.	26.792	27.549	26.951	
145	12.01	26.792	27.549	26.951	
146	12.02	26.792	27.549	26.951	
147	12.05	26.792	27.549	26.951	
148	12.14	26.792	27.549	26.951	
149	12.24	26.792	27.549	26.951	
150	12.34	26.792	27.55	26.951	
151	12.44	26.792	27.55	26.951	
152	12.54	26.792	27.55	26.952	
153	12.64	26.792	27.55	26.952	
154	12.74	26.792	27.55	26.952	
155	12.84	26.792	27.55	26.952	
156	12.94	26.792	27.551	26.952	
157	13.	26.792	27.551	26.952	
158	13.01	26.792	27.551	26.952	
159	13.02	26.792	27.551	26.952	
160	13.05	26.792	27.551	26.952	
161	13.14	26.792	27.551	26.952	
162	13.24	26.792	27.551	26.952	
163	13.34	26.792	27.551	26.952	
164	13.44	26.792	27.551	26.952	
165	13.54	26.792	27.551	26.952	
166	13.64	26.792	27.551	26.952	
167	13.74	26.792	27.552	26.952	
168	13.84	26.792	27.552	26.952	
169	13.94	26.792	27.552	26.952	
170	14.	26.792	27.552	26.952	
171	14.01	26.792	27.552	26.952	
172	14.02	26.792	27.552	26.952	
173	14.05	26.792	27.552	26.952	
174	14.14	26.792	27.552	26.952	
175	14.24	26.792	27.552	26.952	
176	14.34	26.792	27.552	26.952	
177	14.44	26.792	27.552	26.952	
178	14.54	26.792	27.553	26.952	
179	14.64	26.792	27.553	26.952	
180	14.74	26.792	27.553	26.952	
181	14.84	26.792	27.553	26.952	
182	14.94	26.792	27.553	26.952	
183	15.	26.792	27.553	26.952	
184	15.01	26.792	27.553	26.952	
185	15.02	26.792	27.553	26.952	
186	15.05	26.792	27.553	26.952	
187	15.14	26.792	27.553	26.953	
188	15.24	26.792	27.553	26.953	
189	15.34	26.792	27.553	26.953	
190	15.44	26.792	27.553	26.953	
191	15.54	26.792	27.553	26.953	
192	15.64	26.792	27.554	26.953	
193	15.74	26.792	27.554	26.953	
194	15.84	26.792	27.554	26.953	
195	15.94	26.792	27.554	26.953	
196	16.	26.792	27.554	26.953	
197	16.01	26.792	27.554	26.953	
198	16.02	26.792	27.554	26.953	
199	16.05	26.792	27.554	26.953	
200	16.14	26.792	27.554	26.953	
201	16.24	26.792	27.554	26.953	
202	16.34	26.793	27.554	26.953	
203	16.44	26.793	27.554	26.953	
204	16.54	26.793	27.554	26.953	
205	16.64	26.793	27.554	26.953	
206	16.74	26.793	27.554	26.953	
207	16.84	26.793	27.554	26.953	
208	16.94	26.793	27.555	26.953	
209	17.	26.793	27.555	26.953	
210	17.01	26.793	27.555	26.954	
211	17.02	26.793	27.555	26.954	
212	17.05	26.793	27.555	26.954	
213	17.14	26.793	27.555	26.954	
214	17.24	26.793	27.555	26.954	
215	17.34	26.793	27.555	26.954	
216	17.44	26.793	27.555	26.954	
217	17.54	26.793	27.555	26.954	
218	17.64	26.793	27.555	26.954	
219	17.74	26.793	27.555	26.954	
220	17.84	26.793	27.555	26.954	
221	17.94	26.793	27.555	26.954	
222	18.	26.793	27.555	26.954	
223	18.01	26.793	27.555	26.954	
224	18.02	26.793	27.555	26.954	
225	18.05	26.793	27.555	26.954	
226	18.14	26.794	27.555	26.954	
227	18.24	26.794	27.555	26.954	
228	18.34	26.794	27.555	26.954	
229	18.44	26.794	27.556	26.954	
230	18.54	26.794	27.556	26.954	
231	18.64	26.794	27.556	26.954	
232	18.74	26.794	27.556	26.955	
233	18.84	26.794	27.556	26.955	
234	18.94	26.794	27.556	26.955	
235	19.	26.794	27.556	26.955	
236	19.01	26.794	27.556	26.955	
237	19.02	26.794	27.556	26.955	
238	19.05	26.794	27.556	26.955	
239	19.14	26.794	27.556	26.955	
240	19.24	26.794	27.556	26.955	
241	19.34	26.794	27.556	26.955	
242	19.44	26.794	27.556	26.955	
243	19.54	26.794	27.556	26.955	
244	19.64	26.794	27.556	26.955	
245	19.74	26.794	27.556	26.955	
246	19.84	26.795	27.556	26.955	
247	19.94	26.795	27.556	26.955	
248	20.	26.795	27.556	26.955	
249	20.01	26.795	27.556	26.955	
250	20.02	26.795	27.556	26.955	
251	20.05	26.795	27.556	26.955	
252	20.14	26.795	27.556	26.955	
253	20.24	26.795	27.557	26.955	
254	20.34	26.795	27.557	26.955	
255	20.44	26.795	27.557	26.956	
256	20.54	26.795	27.557	26.956	
257	20.64	26.795	27.557	26.956	
258	20.74	26.795	27.557	26.956	
259	20.84	26.795	27.557	26.956	
260	20.94	26.795	27.557	26.956	
261	21.	26.795	27.557	26.956	
262	21.01	26.795	27.557	26.956	
263	21.02	26.795	27.557	26.956	
264	21.05	26.795	27.557	26.956	
265	21.14	26.795	27.557	26.956	
266	21.24	26.795	27.557	26.956	
267	21.34	26.796	27.557	26.956	
268	21.44	26.796	27.557	26.956	
269	21.54	26.796	27.557	26.956	
270	21.64	26.796	27.557	26.956	
271	21.74	26.796	27.557	26.956	
272	21.84	26.796	27.557	26.956	
273	21.94	26.796	27.557	26.957	
274	22.	26.796	27.557	26.957	
275	22.01	26.796	27.557	26.957	
276	22.02	26.796	27.557	26.957	
277	22.05	26.796	27.557	26.957	
278	22.14	26.796	27.558	26.957	
279	22.24	26.796	27.558	26.957	
280	22.34	26.796	27.558	26.957	
281	22.44	26.796	27.558	26.957	
282	22.54	26.796	27.558	26.957	
283	22.64	26.796	27.558	26.957	
284	22.74	26.796	27.558	26.957	
285	22.84	26.797	27.558	26.957	
286	22.94	26.797	27.558	26.957	
287	23.	26.797	27.558	26.957	
288	23.01	26.797	27.558	26.957	
289	23.02	26.797	27.558	26.957	
290	23.05	26.797	27.558	26.957	
291	23.14	26.797	27.558	26.957	
292	23.24	26.797	27.558	26.957	
293	23.34	26.797	27.558	26.957	
294	23.44	26.797	27.558	26.957	
295	23.54	26.797	27.558	26.958	
296	23.64	26.797	27.558	26.958	
297	23.74	26.797	27.558	26.958	
298	23.84	26.797	27.558	26.958	
299	23.94	26.797	27.558	26.958	
300	24.	26.797	27.558	26.958	
301	24.01	26.797	27.558	26.958	
302	24.02	26.797	27.558	26.958	
303	24.05	26.797	27.558	26.958	
304	24.14	26.797	27.559	26.958	
305	24.24	26.798	27.559	26.958	
306	24.34	26.798	27.559	26.958	
307	24.44	26.798	27.559	26.958	
308	24.54	26.798	27.559	26.958	
309	24.64	26.798	27.559	26.958	
